"id","pos_id","position_name","subposition","status","code","order_id","type_code","gcode","level_edu","duration_typ","csbanew"
"207","9022014012562","SENBAGH","NOAKHALI",,"Thana","207",,,,,
"208","9022014010934","SONAIMURI","NOAKHALI",,"Thana","208",,,,,
"209","9022014012725","SUBARNACHAR","NOAKHALI",,"Thana","209",,,,,
"210","9022014005506","NOAKHALI SADAR","NOAKHALI",,"Thana","210",,,,,
"211","9022014007839","BAGHAICHHARI","RANGAMATI",,"Thana","211",,,,,
"212","9022014007034","BARKAL","RANGAMATI",,"Thana","212",,,,,
"213","9022014010373","KAWKHALI(BETBUNIA)","RANGAMATI",,"Thana","213",,,,,
"214","9022014004751","BELAICHHARI","RANGAMATI",,"Thana","214",,,,,
"215","9022014007055","JURAICHHARI","RANGAMATI",,"Thana","215",,,,,
"216","9022014008643","LANGADU","RANGAMATI",,"Thana","216",,,,,
"217","9022014011930","NANIARCHAR","RANGAMATI",,"Thana","217",,,,,
"218","9022014003477","RAJASTHALI","RANGAMATI",,"Thana","218",,,,,
"219","9022014012169","RANGAMATI SADAR","RANGAMATI",,"Thana","219",,,,,
"220","9022014003373","BAGHAICHHARI","RANGAMATI",,"Thana","220",,,,,
"221","9022014003633","BARKAL","RANGAMATI",,"Thana","221",,,,,
"222","9022014003275","KAWKHALI(BETBUNIA)","RANGAMATI",,"Thana","222",,,,,
"223","9022014003575","BELAICHHARI","RANGAMATI",,"Thana","223",,,,,
"224","9022014004724","KAPTAI","RANGAMATI",,"Thana","224",,,,,
"225","9022014003748","JURAICHHARI","RANGAMATI",,"Thana","225",,,,,
"226","9022014008991","LANGADU","RANGAMATI",,"Thana","226",,,,,
"857","13032018104100","Dasar","MADARIPUR",,"Thana","999",,,,,
"228","9022014006848","RAJASTHALI","RANGAMATI",,"Thana","228",,,,,
"229","9022014008595","RANGAMATI SADAR","RANGAMATI",,"Thana","229",,,,,
"230","9022014003733","ADABAR  THANA","DHAKA",,"Thana","230",,,,,
"231","9022014004631","ASHULIA  THANA","DHAKA",,"Thana","231",,,,,
"232","9022014007158","BADDA  THANA","DHAKA",,"Thana","232",,,,,
"233","9022014006743","BANGSHAL  THANA","DHAKA",,"Thana","233",,,,,
"234","9022014005954","BIMANBANDAR  THANA","DHAKA",,"Thana","234",,,,,
"235","9022014009077","CANTONMENT  THANA","DHAKA",,"Thana","235",,,,,
"236","9022014006678","CHAKBAZAR THANA","DHAKA",,"Thana","236",,,,,
"237","9022014011837","DAKSHINKHAN THANA","DHAKA",,"Thana","237",,,,,
"238","9022014009920","DARUSSALAM THANA","DHAKA",,"Thana","238",,,,,
"239","9022014004617","DEMRA THANA","DHAKA",,"Thana","239",,,,,
"240","9022014006765","DHAMRAI","DHAKA",,"Thana","240",,,,,
"241","9022014006603","DHANMONDI THANA","DHAKA",,"Thana","241",,,,,
"242","9022014007185","DOHAR","DHAKA",,"Thana","242",,,,,
"243","9022014010561","GENDARIA THANA","DHAKA",,"Thana","243",,,,,
"244","9022014005762","GULSHAN THANA","DHAKA",,"Thana","244",,,,,
"245","9022014005767","HAZARIBAGH THANA","DHAKA",,"Thana","245",,,,,
"246","9022014006845","JATRABARI THANA","DHAKA",,"Thana","246",,,,,
"247","9022014007919","KAFRUL THANA","DHAKA",,"Thana","247",,,,,
"248","9022014009034","KADAMTALI THANA","DHAKA",,"Thana","248",,,,,
"249","9022014008286","KALABAGAN THANA","DHAKA",,"Thana","249",,,,,
"250","9022014006396","KAMRANGIRCHAR THANA","DHAKA",,"Thana","250",,,,,
"251","9022014005720","KHILGAON THANA","DHAKA",,"Thana","251",,,,,
"252","9022014008006","KHILKHET THANA","DHAKA",,"Thana","252",,,,,
"253","9022014009491","KERANIGANJ","DHAKA",,"Thana","253",,,,,
"254","9022014010275","KOTWALI THANA","DHAKA",,"Thana","254",,,,,
"255","9022014008571","LALBAGH THANA","DHAKA",,"Thana","255",,,,,
"256","9022014006635","MIRPUR THANA","DHAKA",,"Thana","256",,,,,
"257","9022014005204","MOHAMMADPUR THANA","DHAKA",,"Thana","257",,,,,
"258","9022014003306","MOTIJHEEL THANA","DHAKA",,"Thana","258",,,,,
"259","9022014009997","NAWABGANJ","DHAKA",,"Thana","259",,,,,
"260","9022014010950","NEWMARKET THANA","DHAKA",,"Thana","260",,,,,
"261","9022014007280","PALLABI THANA","DHAKA",,"Thana","261",,,,,
"262","9022014008394","PALTAN THANA","DHAKA",,"Thana","262",,,,,
"263","9022014006302","RAMNA THANA","DHAKA",,"Thana","263",,,,,
"264","9022014004462","SABUJBAGH THANA","DHAKA",,"Thana","264",,,,,
"265","9022014008315","SAVAR","DHAKA",,"Thana","265",,,,,
"266","9022014005834","SHAHALI THANA","DHAKA",,"Thana","266",,,,,
"267","9022014003770","SHAHBAG THANA","DHAKA",,"Thana","267",,,,,
"268","9022014006478","SHYAMPUR THANA","DHAKA",,"Thana","268",,,,,
"269","9022014007231","SHER-E-BANGLANAGAR THANA","DHAKA",,"Thana","269",,,,,
"270","9022014003814","SUTRAPUR THANA","DHAKA",,"Thana","270",,,,,
"271","9022014009885","TEJGAON THANA","DHAKA",,"Thana","271",,,,,
"272","9022014011585","TEJGAONIND.AREA THANA","DHAKA",,"Thana","272",,,,,
"273","9022014012262","TURAG THANA","DHAKA",,"Thana","273",,,,,
"274","9022014007391","UTTARA THANA","DHAKA",,"Thana","274",,,,,
"275","9022014004804","UTTARKHAN THANA","DHAKA",,"Thana","275",,,,,
"276","9022014009552","ALFADANGA","FARIDPUR",,"Thana","276",,,,,
