id,pos_id,position_name,subposition,status,code,order_id,type_code,gcode,level_edu,duration_typ,csbanew,rnm,pre,post,icode,scode
649,9022014175885,Kishorgonj Nursing Institute,PUB1,,Institute,643,Public,Institute,30,30,,,0,0,11239,
650,9022014178201,Habigonj Nursing Institute,PUB2,,Institute,644,Public,Institute,50,25,,,0,0,11243,
651,9022014181440,Tangail Nursing Institute,PUB3,,Institute,645,Public,Institute,80,25,,,0,0,11211,
653,2032014015150,Mitford Nursing Institute,PUB4,,Institute,646,Public,Institute,80,25,,,0,0,11201,
654,2032014011961,Comilla Nursing Institute,PUB5,,Institute,647,Public,Institute,80,25,,,0,0,11202,
655,2032014008269,Faridpur Nursing Institute,PUB6,,Institute,648,Public,Institute,80,25,,,0,0,11203,
656,2032014013219,Khulna Nursing Institute,PUB7,,Institute,649,Public,Institute,80,25,,,0,0,11204,
657,2032014006032,Bogra Nursing Institute,PUB8,,Institute,650,Public,Institute,80,25,,,0,0,11205,
658,2032014012034,Dinajpur Nursing Institute,PUB9,,Institute,651,Public,Institute,80,25,,,0,0,11206,
659,2032014006568,Noakhali Nursing Institute,PUB10,,Institute,652,Public,Institute,80,25,,,0,0,11207,
660,2032014015547,Pabna Nursing Institute,PUB11,,Institute,653,Public,Institute,80,25,,,0,0,11208,
661,2032014010243,Jessore Nursing Institute,PUB12,,Institute,654,Public,Institute,80,25,,,0,0,11209,
662,2032014007440,Kushtia Nursing Institute,PUB13,,Institute,655,Public,Institute,80,25,,,0,0,11210,
663,2032014006055,Rangamati Nursing Institute,PUB14,,Institute,656,Public,Institute,80,25,,,0,0,11212,
664,2032014011011,Patuakhali Nursing Institute,PUB15,,Institute,657,Public,Institute,80,25,,,0,0,11213,
665,2032014008642,Sirajganj Nursing Institute,PUB16,,Institute,658,Public,Institute,50,25,,,0,0,11214,
666,2032014006718,Munshiganj Nursing Institute,PUB17,,Institute,659,Public,Institute,50,25,,,0,0,11215,
667,2032014012234,Chuadanga Nursing Institute,PUB18,,Institute,660,Public,Institute,50,,,,0,0,11216,
668,2032014006948,Magura Nursing Institute,PUB19,,Institute,661,Public,Institute,50,,,,0,0,11217,
669,2032014011923,Coxs Bazar Nursing Institute,PUB20,,Institute,662,Public,Institute,50,,,,0,0,11218,
670,2032014006389,Moulvibazar Nursing Institute,PUB21,,Institute,663,Public,Institute,50,25,,,0,0,11219,
671,2032014010677,Sherpur Nursing Institute,PUB22,,Institute,664,Public,Institute,50,,,,0,0,11220,
672,2032014005956,Chapai Nawabganj Nursing Institute,PUB23,,Institute,665,Public,Institute,50,,,,0,0,11221,
673,2032014007226,Joypurhat Nursing Institute,PUB24,,Institute,666,Public,Institute,50,25,,,0,0,11222,
674,2032014009854,Satkhira Nursing Institute,PUB25,,Institute,667,Public,Institute,70,25,,,0,0,11223,
675,2032014011732,Thakurgaon Nursing Institute,PUB26,,Institute,668,Public,Institute,50,,,,0,0,11224,
676,2032014014721,Rajbari Nursing Institute,PUB27,,Institute,669,Public,Institute,50,25,,,0,0,11225,
677,2032014012260,Brahmanbaria Nursing Institute,PUB28,,Institute,670,Public,Institute,70,,,,0,0,11226,
678,2032014011664,Feni Nursing Institute,PUB29,,Institute,671,Public,Institute,50,25,,,0,0,11227,
679,2032014009704,Bagerhat Nursing Institute,PUB30,,Institute,672,Public,Institute,50,,,,0,0,11228,
680,2032014009219,Kurigram Nursing Institute,PUB31,,Institute,673,Public,Institute,50,25,,,0,0,11229,
681,2032014009134,Bhola Nursing Institute,PUB32,,Institute,674,Public,Institute,50,,,,0,0,11230,
682,2032014008690,Netrokona Nursing Institute,PUB33,,Institute,675,Public,Institute,50,,,,0,0,11231,
683,2032014009295,Gopalgonj Nursing Institute,PUB34,,Institute,676,Public,Institute,50,25,,,0,0,11232,
684,2032014007474,Madaripur Nursing Institute,PUB35,,Institute,677,Public,Institute,50,,,,0,0,11233,
685,2032014012828,Pirojpur Nursing Institute,PUB36,,Institute,678,Public,Institute,50,25,,,0,0,11234,
686,2032014006018,Barguna Nursing Institute,PUB37,,Institute,679,Public,Institute,50,,,,0,0,11235,
687,2032014009825,Naogaon Nursing Institute,PUB38,,Institute,680,Public,Institute,50,25,,,0,0,11236,
688,2032014010462,Nilphamari Nursing Institute,PUB39,,Institute,681,Public,Institute,50,,,,0,0,11237,
689,2032014010140,Jamalpur Nursing Institute,PUB40,,Institute,682,Public,Institute,50,,,,0,0,11240,
690,2032014007815,Jhenaidah Nursing Institute,PUB41,,Institute,683,Public,Institute,50,25,,,0,0,11241,
691,2032014006428,Chandpur Nursing Institute,PUB42,,Institute,684,Public,Institute,50,25,,,0,0,11242,
692,2032014013607,Panchagarh Nursing Institute,PUB43,,Institute,685,Public,Institute,50,,,,0,0,11238,
693,2032014236785,"B A Siddiki Red Crescent Nursing Institute, Dhaka",PRI01,,Institute,686,Private,Institute,50,0,,,0,0,22201,
695,2032014233828,"Jahurul Islam Nursing Institute, Bajitpur, Kishorg...",PRI03,,Institute,688,Private,Institute,0,,,,0,0,22123,
696,2032014238164,"Nursing Institute Christian Mission Hospital, Rajs...",PRI04,,Institute,689,Private,Institute,50,,,,0,0,22204,
697,2032014236174,"Christian Mission Nursing Institute, Chandraghona",PRI05,,Institute,690,Private,Institute,30,,,,0,0,22205,
698,2032014237840,"CRP Nursing College, Savar, Dhaka",PRI06,,Institute,691,Private,College,,,,,40,0,22112,
699,2032014232691,"Khaja Yunus Ali Nursing College, Enayetpur, Sirajg...",PRI07,,Institute,692,Private,College,50,,,,0,30,22114,
700,2032014239190,"Diabetic Association Nursing Institute, Faridpur",PRI08,,Institute,693,Private,College,40,,,,0,0,22208,
701,2032014237537,"Shaheed Monsur Ali Nursing Institute, Uttara, Dhak...",PRI09,,Institute,694,Private,Institute,70,,,,0,0,22209,
702,2032014239471,"Fatema Nursing College, Ad-din Hospital, Dhaka",PRI10,,Institute,695,Private,College,50,,,,50,30,22127,
703,2032014232560,"Ad-din Nursing Institute, Jessore.",PRI11,,Institute,696,Private,Institute,30,,,,0,0,22211,
704,2032014234182,"Safina Nursing Institute, Kushtia.",PRI12,,Institute,697,Private,Institute,30,,,,0,0,22212,
705,2032014235878,"Islami Bank Nursing College, Rajshahi",PRI13,,Institute,698,Private,College,120,,,,50,50,22128,
706,2032014235537,"North East Nursing College, Sylhet",PRI14,,Institute,699,Private,Institute,120,,,,70,60,22104,
707,2032014234628,"Shisu Shastha Foundation Nursing Institute, Dhaka",PRI15,,Institute,700,Private,Institute,20,,,,0,0,22215,
708,2032014232324,"CHP Nursing Institute, Haluaghat, Mymensingh",PRI16,,Institute,701,Private,Institute,50,,,,0,0,22216,
709,2032014234714,"Nursing Institute, M.C. for Women and Hospital, Ut...",PRI17,,Institute,702,Private,Institute,25,,,,0,0,22217,
710,2032014232399,"Ctg. Maa-O-Shisu Hosp. Nursing Institute, Chittago...",PRI18,,Institute,703,Private,Institute,50,,,,0,0,22218,
711,2032014232885,"Central Hospital Nursing Institute, Dhaka",PRI19,,Institute,704,Private,Institute,50,,,,0,0,22219,
712,2032014233418,"TMMC Nursing College, Board Bazar, Gazipur",PRI20,,Institute,705,Private,Institute,50,,,,50,50,22110,
713,2032014234638,"Green Life College of Nursing Dhanmondi, Dhaka",PRI21,,Institute,706,Private,Institute,40,,,,40,30,22117,
714,2032014235681,"TMSS Nursing College, Thengamara, Bogra",PRI22,,Institute,707,Private,Institute,100,30,,,25,30,22109,
715,2032014241127,"East West Nursing College, Turag, Dhaka",PRI23,,Institute,708,Private,College,50,,,,60,60,22111,
716,2032014237570,"Grameen Caledonian College of Nursing, Dhaka",PRI24,,Institute,709,Private,Institute,80,0,,,0,0,22121,
717,2032014235399,"IBN SINA Nursing Institute, Dhaka",PRI25,,Institute,710,Private,Institute,90,,,,0,0,22225,
718,2032014235595,"Rangpur Community Nursing College, Rangpur",PRI26,,Institute,711,Private,College,50,,,,30,30,22120,
719,2032014240256,College of Nursing Science Dinajpur,PRI27,,Institute,712,Private,College,60,,,,30,30,22124,
720,2032014240764,"GMR Nursing Institute, Khulna",PRI28,,Institute,713,Private,Institute,70,,,,0,0,22228,
721,2032014237813,"Begum Osman Ara College of Nursing, Chittagong",PRI29,,Institute,714,Private,Institute,50,,,,0,0,22229,
722,2032014234092,"Begum Rabeya Khatun Chow. Nursing College, Sylhet",PRI30,,Institute,715,Private,Institute,80,,,,60,50,22105,
723,2032014234381,"Jameson Red-Crescent Nursing Institute, Chittagong",PRI31,,Institute,716,Private,Institute,50,,,,0,0,22231,
724,2032014236351,"Dhaka Community Nursing College, Moghbazar, Dhaka",PRI32,,Institute,717,Private,College,50,,,,40,30,22125,
725,2032014234224,"Community Based Nursing Institute, Mymensingh",PRI33,,Institute,718,Private,Institute,60,,,,0,0,22233,
726,2032014235181,"Pabna Community Nursing Institute, Sathia, Pabna",PRI34,,Institute,719,Private,Institute,40,0,,,0,0,222154,
727,2032014236588,"Shah Makhdum Nursing Institute, Boalia, Rajshahi",PRI35,,Institute,720,Private,Institute,40,,,,0,0,22234,
729,2032014233571,"LAMB Nursing Institute, Parbatipur, Dinajpur",PRI37,,Institute,722,Private,Institute,50,30,,,0,0,22236,
730,2032014238650,"Comilla Diabetic Association Nursing Institute, Co...",PRI38,,Institute,723,Private,Institute,50,,,,0,0,22237,
731,2032014241273,"MRF Nursing Institute, Joypurhat",PRI39,,Institute,724,Private,Institute,50,,,,0,0,22238,
732,2032014237143,"Diabetic Association Nursing College, Rajshahi",PRI40,,Institute,725,Private,Institute,70,,,,0,0,22239,
733,2032014239641,"Monno Nursing College, Manikgonj",PRI41,,Institute,726,Private,Institute,40,,,,0,0,22240,
734,2032014234860,"Prime Bank College of Nursing, Dhaka",PRI42,,Institute,727,Private,College,80,,,,30,20,22115,
735,2032014238829,"Ideal Nursing College, Bogra",PRI43,,Institute,728,Private,Institute,50,,,,0,0,22242,
736,2032014235180,"Safa-Makkah Nursing Institute, Sirajgonj",PRI44,,Institute,729,Private,Institute,40,,,,0,0,22243,
737,2032014240317,"St.Vincent Nursing Institute, Dinajpur",PRI45,,Institute,730,Private,Institute,60,0,,,0,0,22244,
